Frame;AU_02_L_x;AU_02_L_y;AU_02_L_z;AU_01_L_x;AU_01_L_y;AU_01_L_z;AU_02_R_x;AU_02_R_y;AU_02_R_z;AU_01_R_x;AU_01_R_y;AU_01_R_z;AU_06_L_x;AU_06_L_y;AU_06_L_z;AU_06_R_x;AU_06_R_y;AU_06_R_z;AU_09_L_x;AU_09_L_y;AU_09_L_z;AU_09_R_x;AU_09_R_y;AU_09_R_z;AU_11_L_x;AU_11_L_y;AU_11_L_z;AU_11_R_x;AU_11_R_y;AU_11_R_z;AU_12_L_x;AU_12_L_y;AU_12_L_z;AU_10_L_x;AU_10_L_y;AU_10_L_z;AU_12_R_x;AU_12_R_y;AU_12_R_z;AU_10_R_x;AU_10_R_y;AU_10_R_z;AU_08_x;AU_08_y;AU_08_z;AU_16_x;AU_16_y;AU_16_z;Stimulustype
909;-0.2701849341392517;0.3683534860610962;-0.1889634132385254;-0.08767247945070267;0.33361363410949707;-0.1049041748046875;0.2904041111469269;0.3364623188972473;-0.21416211128234863;0.0898175835609436;0.33102285861968994;-0.11402702331542969;-0.22934690117835999;0.017934739589691162;-0.17876696586608887;0.2187725305557251;0.022552490234375;-0.18942832946777344;-0.10507896542549133;0.05662280321121216;-0.14428186416625977;0.10497075319290161;0.05053669214248657;-0.15754294395446777;-0.13511250913143158;-0.07366478443145752;-0.1296689510345459;0.12174065411090851;-0.06911957263946533;-0.14570927619934082;-0.213633194565773;-0.23205816745758057;-0.15680480003356934;-0.13205143809318542;-0.20441842079162598;-0.10655331611633301;0.20570668578147888;-0.2257986068725586;-0.18596696853637695;0.12012133747339249;-0.195365309715271;-0.12031054496765137;-0.009079724550247192;-0.17261099815368652;-0.06894087791442871;-0.0004635821678675711;-0.3207052946090698;-0.09392690658569336;posed_neutral
910;-0.27031293511390686;0.36811399459838867;-0.18902301788330078;-0.08821746706962585;0.33364713191986084;-0.10496211051940918;0.2899949550628662;0.33581531047821045;-0.2135484218597412;0.08915812522172928;0.33067309856414795;-0.11389422416687012;-0.22961744666099548;0.01821190118789673;-0.17896676063537598;0.2181461900472641;0.02242797613143921;-0.18915700912475586;-0.10564249008893967;0.05618077516555786;-0.14480996131896973;0.10464830696582794;0.05042463541030884;-0.15695858001708984;-0.135371133685112;-0.07375621795654297;-0.1299285888671875;0.12115342915058136;-0.06892645359039307;-0.14497756958007812;-0.21397645771503448;-0.23185944557189941;-0.15695714950561523;-0.13246983289718628;-0.2047274112701416;-0.10676813125610352;0.20491589605808258;-0.22584819793701172;-0.1853647232055664;0.11939413845539093;-0.1952528953552246;-0.11983776092529297;-0.009311500936746597;-0.17256546020507812;-0.0689084529876709;-0.0012122723273932934;-0.3208622932434082;-0.09403181076049805;posed_neutral
911;-0.26941394805908203;0.36851489543914795;-0.18834662437438965;-0.08731002360582352;0.33405280113220215;-0.10488247871398926;0.2909521460533142;0.3360064625740051;-0.21477079391479492;0.09004560112953186;0.3310246467590332;-0.11406922340393066;-0.22879980504512787;0.018523454666137695;-0.17881059646606445;0.2190209925174713;0.022641658782958984;-0.1895582675933838;-0.10473448038101196;0.05665385723114014;-0.1437697410583496;0.1055668443441391;0.05046647787094116;-0.158416748046875;-0.13450363278388977;-0.07326936721801758;-0.12907075881958008;0.12206564843654633;-0.06889796257019043;-0.1461503505706787;-0.21313691139221191;-0.23144495487213135;-0.15624094009399414;-0.13160759210586548;-0.20434486865997314;-0.10632753372192383;0.20580211281776428;-0.2258002758026123;-0.18604326248168945;0.12029371410608292;-0.1951303482055664;-0.12041020393371582;-0.00842425785958767;-0.17231416702270508;-0.06911706924438477;-0.00029616389656439424;-0.3205806016921997;-0.09387850761413574;posed_neutral
912;-0.26907849311828613;0.3689148426055908;-0.18814349174499512;-0.08672100305557251;0.33448660373687744;-0.10483765602111816;0.29113200306892395;0.33640068769454956;-0.2150583267211914;0.09056025743484497;0.3314891457557678;-0.11420416831970215;-0.22841277718544006;0.018738269805908203;-0.17876219749450684;0.21937601268291473;0.02296149730682373;-0.18984699249267578;-0.10438815504312515;0.057049572467803955;-0.14354252815246582;0.10590550303459167;0.05079221725463867;-0.15918421745300293;-0.1339406967163086;-0.07279002666473389;-0.12852692604064941;0.12261752039194107;-0.06869518756866455;-0.14689135551452637;-0.212896928191185;-0.23119819164276123;-0.15598773956298828;-0.1312294900417328;-0.20383763313293457;-0.10613107681274414;0.20603898167610168;-0.2255403995513916;-0.18612051010131836;0.12063190340995789;-0.19473886489868164;-0.12061142921447754;-0.007958903908729553;-0.17175209522247314;-0.06931138038635254;0.00020354654407128692;-0.32011985778808594;-0.0937795639038086;posed_neutral
913;-0.2692373991012573;0.3687836527824402;-0.18825125694274902;-0.08678646385669708;0.3343539834022522;-0.10483980178833008;0.2911403775215149;0.3361667990684509;-0.21503114700317383;0.09044913947582245;0.3315567970275879;-0.11417555809020996;-0.22837227582931519;0.018880367279052734;-0.1788043975830078;0.21923258900642395;0.022911906242370605;-0.1897740364074707;-0.10427652299404144;0.057085514068603516;-0.14339804649353027;0.10587561130523682;0.05088752508163452;-0.15920805931091309;-0.13405819237232208;-0.0728142261505127;-0.128645658493042;0.1224975734949112;-0.06862509250640869;-0.14673995971679688;-0.21270614862442017;-0.23103976249694824;-0.15580058097839355;-0.13125288486480713;-0.20378625392913818;-0.10614323616027832;0.2059713900089264;-0.22547316551208496;-0.18603825569152832;0.12063822150230408;-0.19475007057189941;-0.12061572074890137;-0.007936269044876099;-0.1717151403427124;-0.06932282447814941;-3.0248949769884348e-05;-0.3201320171356201;-0.09372973442077637;posed_neutral
914;-0.2694844603538513;0.368585467338562;-0.18841958045959473;-0.08689852058887482;0.3340355157852173;-0.10483956336975098;0.2907771170139313;0.3362586498260498;-0.21459364891052246;0.09030826389789581;0.3315199017524719;-0.1141362190246582;-0.22861486673355103;0.018591761589050293;-0.1787736415863037;0.21915732324123383;0.022642910480499268;-0.18960356712341309;-0.10457329452037811;0.05685955286026001;-0.14368128776550293;0.10596095025539398;0.05062514543533325;-0.15914654731750488;-0.13477873802185059;-0.0733567476272583;-0.1293480396270752;0.12258987128734589;-0.06879901885986328;-0.1468372344970703;-0.21273230016231537;-0.23164856433868408;-0.15604925155639648;-0.13142907619476318;-0.20452237129211426;-0.10623788833618164;0.20517252385616302;-0.22593069076538086;-0.18560171127319336;0.12044303864240646;-0.1951349973678589;-0.12050676345825195;-0.008136233314871788;-0.17189884185791016;-0.06925082206726074;-0.0009235176839865744;-0.3216596841812134;-0.09423375129699707;posed_neutral
915;-0.2691492736339569;0.36895549297332764;-0.18821144104003906;-0.08675020933151245;0.3344324827194214;-0.10483860969543457;0.29054534435272217;0.3369407057762146;-0.2144155502319336;0.09049319475889206;0.33189600706100464;-0.1141965389251709;-0.22856752574443817;0.018917202949523926;-0.17888450622558594;0.2192857712507248;0.022960007190704346;-0.18981719017028809;-0.10445182025432587;0.05726206302642822;-0.14381170272827148;0.10586006194353104;0.05105793476104736;-0.15930962562561035;-0.13453222811222076;-0.07285988330841064;-0.12913084030151367;0.12256582081317902;-0.0684126615524292;-0.14686799049377441;-0.21235507726669312;-0.23138725757598877;-0.15569853782653809;-0.13140060007572174;-0.20402193069458008;-0.10621976852416992;0.2049611508846283;-0.22575998306274414;-0.1853628158569336;0.12044330686330795;-0.19486379623413086;-0.12049531936645508;-0.008033595979213715;-0.1712886095046997;-0.06939005851745605;-0.0013488861732184887;-0.3224475383758545;-0.09448456764221191;posed_neutral
916;-0.2689276337623596;0.3692162036895752;-0.18807625770568848;-0.08677460253238678;0.3344641327857971;-0.1048424243927002;0.2909712493419647;0.3367936611175537;-0.21492218971252441;0.09074784070253372;0.33192723989486694;-0.11426758766174316;-0.22839835286140442;0.018824994564056396;-0.17879176139831543;0.21945831179618835;0.022841036319732666;-0.18980860710144043;-0.10425002127885818;0.057334065437316895;-0.1435532569885254;0.10603970289230347;0.05099308490753174;-0.15954113006591797;-0.13440747559070587;-0.07282423973083496;-0.12900519371032715;0.12272528558969498;-0.0685960054397583;-0.14705491065979004;-0.21209608018398285;-0.23157906532287598;-0.15559864044189453;-0.13118243217468262;-0.20432066917419434;-0.10611104965209961;0.2049032300710678;-0.22610998153686523;-0.18546533584594727;0.12070142477750778;-0.1950368881225586;-0.12066912651062012;-0.007862778380513191;-0.17131686210632324;-0.06941485404968262;-0.0010189521126449108;-0.3238341808319092;-0.09482216835021973;posed_neutral
917;-0.2687293589115143;0.36929959058761597;-0.1879265308380127;-0.08654866367578506;0.3346157670021057;-0.10482454299926758;0.29117029905319214;0.33655881881713867;-0.2151319980621338;0.09082101285457611;0.3318508267402649;-0.11428499221801758;-0.22832848131656647;0.01885843276977539;-0.17878079414367676;0.21945823729038239;0.022696971893310547;-0.18973016738891602;-0.10410982370376587;0.05746865272521973;-0.14344167709350586;0.10616602748632431;0.050969839096069336;-0.15971970558166504;-0.13443288207054138;-0.0728456974029541;-0.1290292739868164;0.1227344423532486;-0.06849980354309082;-0.14708304405212402;-0.2116243541240692;-0.23167681694030762;-0.15532255172729492;-0.13111406564712524;-0.20447027683258057;-0.10607767105102539;0.204665407538414;-0.22624444961547852;-0.1853342056274414;0.12061391770839691;-0.19514787197113037;-0.12061691284179688;-0.007863543927669525;-0.17127645015716553;-0.06942319869995117;-0.0010867337696254253;-0.3248586654663086;-0.0950932502746582;posed_neutral
918;-0.2686382234096527;0.3691255450248718;-0.18781518936157227;-0.0864512026309967;0.33442366123199463;-0.10480737686157227;0.29126298427581787;0.336428165435791;-0.2152259349822998;0.09092056751251221;0.3316776752471924;-0.11430788040161133;-0.228199303150177;0.018673717975616455;-0.1786651611328125;0.2195771336555481;0.022568106651306152;-0.18969988822937012;-0.10397598892450333;0.0573352575302124;-0.14312744140625;0.106295146048069;0.05079960823059082;-0.15979480743408203;-0.13428251445293427;-0.07300400733947754;-0.12886261940002441;0.12288382649421692;-0.06869006156921387;-0.14725446701049805;-0.2114933878183365;-0.23187041282653809;-0.15530800819396973;-0.13094592094421387;-0.20464372634887695;-0.10599350929260254;0.20482295751571655;-0.2264251708984375;-0.18553519248962402;0.12077976018190384;-0.19533121585845947;-0.12073206901550293;-0.00769794499501586;-0.171453595161438;-0.06941795349121094;-0.0009047906496562064;-0.32503819465637207;-0.09512639045715332;posed_neutral
919;-0.268769770860672;0.36913931369781494;-0.1879281997680664;-0.08669034391641617;0.3343689441680908;-0.10482954978942871;0.2914090156555176;0.33651477098464966;-0.2154219150543213;0.0909895971417427;0.3322576880455017;-0.11434173583984375;-0.22828665375709534;0.018759965896606445;-0.17872858047485352;0.21957604587078094;0.022682905197143555;-0.18976187705993652;-0.10410372912883759;0.05724835395812988;-0.14325714111328125;0.10617350041866302;0.05096423625946045;-0.1597270965576172;-0.13411414623260498;-0.07300186157226562;-0.12868928909301758;0.12293890118598938;-0.06873583793640137;-0.1473219394683838;-0.21146468818187714;-0.23207974433898926;-0.15536832809448242;-0.13084904849529266;-0.20462870597839355;-0.10594439506530762;0.20485340058803558;-0.22652459144592285;-0.18560123443603516;0.12083712220191956;-0.19544649124145508;-0.1207742691040039;-0.007497813086956739;-0.1711878776550293;-0.06950569152832031;-0.0008861101814545691;-0.3262460231781006;-0.09543848037719727;posed_neutral
920;-0.2687143087387085;0.3691152334213257;-0.18787670135498047;-0.08668427169322968;0.3340846300125122;-0.10481953620910645;0.2912618815898895;0.33677202463150024;-0.21528053283691406;0.09078201651573181;0.33196812868118286;-0.11427736282348633;-0.22841817140579224;0.018608033657073975;-0.17871379852294922;0.219442218542099;0.022522807121276855;-0.18963146209716797;-0.10425271093845367;0.056967198848724365;-0.1432666778564453;0.10615209490060806;0.05080890655517578;-0.15957975387573242;-0.13421626389026642;-0.07300591468811035;-0.12879490852355957;0.12299405783414841;-0.06865620613098145;-0.14741063117980957;-0.2115681916475296;-0.232374906539917;-0.1555492877960205;-0.1308726966381073;-0.2046799659729004;-0.1059567928314209;0.2047467678785324;-0.22670137882232666;-0.1855919361114502;0.1207117885351181;-0.19565987586975098;-0.12070250511169434;-0.007610786240547895;-0.17145395278930664;-0.06943249702453613;-0.0011208015494048595;-0.3270026445388794;-0.09565281867980957;posed_neutral
921;-0.2688157558441162;0.3689999580383301;-0.18793940544128418;-0.08680824935436249;0.33425426483154297;-0.10483789443969727;0.29152077436447144;0.3367733359336853;-0.21560311317443848;0.09081298857927322;0.33187204599380493;-0.11428356170654297;-0.22855499386787415;0.018494904041290283;-0.17871594429016113;0.21932223439216614;0.022320449352264404;-0.1894817352294922;-0.10436452925205231;0.0570683479309082;-0.14352107048034668;0.10616143047809601;0.05080819129943848;-0.1595935821533203;-0.13449479639530182;-0.0733494758605957;-0.12905573844909668;0.12281160056591034;-0.06890869140625;-0.14711999893188477;-0.21167324483394623;-0.23273980617523193;-0.15575742721557617;-0.13104256987571716;-0.2049332857131958;-0.10604476928710938;0.20460554957389832;-0.22668874263763428;-0.18547534942626953;0.12054509669542313;-0.1956651210784912;-0.12059569358825684;-0.007817648351192474;-0.1713465452194214;-0.06941699981689453;-0.0014122831635177135;-0.3276371955871582;-0.0958395004272461;posed_neutral
922;-0.2688852846622467;0.3688908815383911;-0.18797588348388672;-0.08670396357774734;0.33433103561401367;-0.10483026504516602;0.29147815704345703;0.33674532175064087;-0.2155454158782959;0.09086046367883682;0.3319664001464844;-0.11429929733276367;-0.22850781679153442;0.018291711807250977;-0.1786210536956787;0.21938079595565796;0.02229154109954834;-0.1894855499267578;-0.1042722836136818;0.05702364444732666;-0.1433420181274414;0.10626202821731567;0.05079370737075806;-0.15973877906799316;-0.1344810426235199;-0.07336068153381348;-0.12904047966003418;0.12289703637361526;-0.06893503665924072;-0.1472330093383789;-0.21154431998729706;-0.23292303085327148;-0.15574121475219727;-0.13093239068984985;-0.20504534244537354;-0.10598993301391602;0.20467883348464966;-0.22673404216766357;-0.18555212020874023;0.12068332731723785;-0.19562625885009766;-0.1206824779510498;-0.007830262184143066;-0.17159044742584229;-0.069366455078125;-0.0014652307145297527;-0.3280630111694336;-0.09595489501953125;posed_neutral
923;-0.2690364420413971;0.36865127086639404;-0.18805575370788574;-0.08672907948493958;0.33423131704330444;-0.10482931137084961;0.29130327701568604;0.33679527044296265;-0.21533536911010742;0.09064546972513199;0.33178913593292236;-0.11423516273498535;-0.22863560914993286;0.0182533860206604;-0.1786491870880127;0.21939995884895325;0.022444725036621094;-0.1895747184753418;-0.10418899357318878;0.057033658027648926;-0.1432201862335205;0.10624746978282928;0.050769031047821045;-0.1596982479095459;-0.134555384516716;-0.07356846332550049;-0.12910127639770508;0.12268499284982681;-0.0688786506652832;-0.14695334434509277;-0.2119259238243103;-0.23314082622528076;-0.15607786178588867;-0.131060391664505;-0.20528531074523926;-0.10605621337890625;0.20497946441173553;-0.22664010524749756;-0.18574953079223633;0.12069179117679596;-0.19583678245544434;-0.1206972599029541;-0.007916174829006195;-0.17200076580047607;-0.06926965713500977;-0.001937731634825468;-0.32874035835266113;-0.09616637229919434;posed_neutral
924;-0.26902639865875244;0.36865371465682983;-0.1880478858947754;-0.08646354079246521;0.334197998046875;-0.10480070114135742;0.2911756932735443;0.33693867921829224;-0.21519994735717773;0.09054669737815857;0.33193832635879517;-0.1142122745513916;-0.22864127159118652;0.018406569957733154;-0.1787114143371582;0.21942108869552612;0.022762298583984375;-0.18975377082824707;-0.10410027951002121;0.05712646245956421;-0.14315509796142578;0.1060524731874466;0.050818443298339844;-0.15943145751953125;-0.13462750613689423;-0.07342827320098877;-0.12918663024902344;0.12250196933746338;-0.06878066062927246;-0.14672207832336426;-0.21275366842746735;-0.23301374912261963;-0.15658092498779297;-0.13183902204036713;-0.20516955852508545;-0.10645127296447754;0.2051626741886139;-0.2261866331100464;-0.18570208549499512;0.12083931267261505;-0.1957002878189087;-0.12078571319580078;-0.00811905786395073;-0.1721038818359375;-0.06921267509460449;-0.0020893248729407787;-0.3286987543106079;-0.09616756439208984;posed_neutral
925;-0.2686353921890259;0.36855995655059814;-0.1877002716064453;-0.08609364181756973;0.3340817093849182;-0.10475802421569824;0.29145681858062744;0.33675724267959595;-0.21552085876464844;0.09088169783353806;0.3317902088165283;-0.11430025100708008;-0.22831375896930695;0.018388330936431885;-0.17859315872192383;0.21965160965919495;0.022682368755340576;-0.1897881031036377;-0.10376626253128052;0.05715739727020264;-0.14265871047973633;0.1063368171453476;0.0506821870803833;-0.1597731113433838;-0.13429807126522064;-0.07337987422943115;-0.12885069847106934;0.12276826798915863;-0.06890523433685303;-0.1470623016357422;-0.21244364976882935;-0.23295986652374268;-0.15635466575622559;-0.1315460503101349;-0.20511269569396973;-0.10630178451538086;0.2053736448287964;-0.22623920440673828;-0.18589091300964355;0.121090367436409;-0.1957608461380005;-0.12094998359680176;-0.007818197831511497;-0.17213225364685059;-0.06926107406616211;-0.00182808144018054;-0.3286670446395874;-0.09613943099975586;posed_neutral
926;-0.26845160126686096;0.36882150173187256;-0.18759727478027344;-0.08615700155496597;0.3343620300292969;-0.10477447509765625;0.29130491614341736;0.33690351247787476;-0.21535515785217285;0.09096559137105942;0.3320011496543884;-0.11432838439941406;-0.22843030095100403;0.018613994121551514;-0.17872023582458496;0.2196226418018341;0.02294445037841797;-0.18992114067077637;-0.10385894775390625;0.05744975805282593;-0.1430356502532959;0.1063508689403534;0.05081218481063843;-0.15988779067993164;-0.13425809144973755;-0.0732043981552124;-0.12882232666015625;0.12296399474143982;-0.06874489784240723;-0.1473548412322998;-0.21304312348365784;-0.23305487632751465;-0.15678954124450684;-0.13159073889255524;-0.20534956455230713;-0.10632610321044922;0.20558421313762665;-0.2258007526397705;-0.18587136268615723;0.12110576033592224;-0.19573020935058594;-0.12095904350280762;-0.008175347000360489;-0.17231202125549316;-0.06916165351867676;-0.0021366304717957973;-0.3287665843963623;-0.09618854522705078;posed_neutral
927;-0.2684367895126343;0.3689832091331482;-0.18761658668518066;-0.08614274859428406;0.3342958688735962;-0.10477137565612793;0.2915409207344055;0.3369032144546509;-0.21564865112304688;0.0912088081240654;0.332089900970459;-0.11439752578735352;-0.22842742502689362;0.01882869005203247;-0.1788029670715332;0.21962109208106995;0.022892236709594727;-0.18989205360412598;-0.10414187610149384;0.057349979877471924;-0.14339733123779297;0.1063370481133461;0.050850510597229004;-0.1598978042602539;-0.13468950986862183;-0.07357919216156006;-0.12923908233642578;0.12315504252910614;-0.06913185119628906;-0.1475515365600586;-0.2152712047100067;-0.2337477207183838;-0.15853571891784668;-0.1318240612745285;-0.20677638053894043;-0.10645580291748047;0.20638318359851837;-0.22535228729248047;-0.18631219863891602;0.12103676050901413;-0.19747281074523926;-0.12099003791809082;-0.007228612434118986;-0.1760615110397339;-0.06858563423156738;-0.0038879546336829662;-0.32785820960998535;-0.09608626365661621;posed_neutral
928;-0.26836997270584106;0.3688417077064514;-0.18753290176391602;-0.08614446222782135;0.3340010643005371;-0.10476040840148926;0.2915792763233185;0.33669960498809814;-0.21566367149353027;0.0912109985947609;0.33182644844055176;-0.11439108848571777;-0.22837568819522858;0.018595457077026367;-0.1786942481994629;0.21961145102977753;0.022622764110565186;-0.18974065780639648;-0.1040671318769455;0.05711936950683594;-0.1430978775024414;0.10634481906890869;0.0505678653717041;-0.15970110893249512;-0.1347096562385559;-0.07407629489898682;-0.12922239303588867;0.12303109467029572;-0.06961548328399658;-0.147308349609375;-0.21549949049949646;-0.23461949825286865;-0.15901875495910645;-0.13172897696495056;-0.20748436450958252;-0.10641264915466309;0.20653994381427765;-0.22560334205627441;-0.18654227256774902;0.1207316592335701;-0.19834887981414795;-0.12083172798156738;-0.007222640793770552;-0.17794406414031982;-0.06821250915527344;-0.003830601926892996;-0.3279165029525757;-0.09609723091125488;posed_neutral
929;-0.2682027816772461;0.3687777519226074;-0.1873793601989746;-0.08595490455627441;0.33402401208877563;-0.10474109649658203;0.2917200028896332;0.33678680658340454;-0.21585321426391602;0.0913892313838005;0.3319001793861389;-0.1144416332244873;-0.22811077535152435;0.018538951873779297;-0.17858242988586426;0.21985939145088196;0.02267754077911377;-0.18987178802490234;-0.10379552841186523;0.057176828384399414;-0.14272022247314453;0.106612429022789;0.05058157444000244;-0.159928560256958;-0.13439247012138367;-0.07403349876403809;-0.12889885902404785;0.12334492802619934;-0.06964659690856934;-0.14772510528564453;-0.21517221629619598;-0.2346806526184082;-0.15882444381713867;-0.13137014210224152;-0.2074730396270752;-0.10622978210449219;0.20690037310123444;-0.22562384605407715;-0.18684673309326172;0.12109164893627167;-0.19835162162780762;-0.1210634708404541;-0.006860158871859312;-0.17793166637420654;-0.06827950477600098;-0.003432472702115774;-0.32790958881378174;-0.09606528282165527;posed_neutral
930;-0.26844483613967896;0.3686774969100952;-0.1875627040863037;-0.0861859917640686;0.33398205041885376;-0.10476374626159668;0.2915371060371399;0.33667129278182983;-0.215606689453125;0.09115591645240784;0.3316687345504761;-0.11437177658081055;-0.2283010631799698;0.01815098524093628;-0.1784965991973877;0.21963028609752655;0.022355318069458008;-0.18960118293762207;-0.10400371253490448;0.05698114633560181;-0.14288949966430664;0.10621271282434464;0.05020564794540405;-0.15922832489013672;-0.13458912074565887;-0.07480871677398682;-0.1290431022644043;0.12305040657520294;-0.07052826881408691;-0.1472325325012207;-0.21620504558086395;-0.23643290996551514;-0.1602647304534912;-0.13166657090187073;-0.20883798599243164;-0.10639142990112305;0.20698238909244537;-0.22592973709106445;-0.18705177307128906;0.12103129923343658;-0.2000495195388794;-0.12109780311584473;-0.006961391773074865;-0.18090832233428955;-0.06766986846923828;-0.0034029013477265835;-0.32767534255981445;-0.09600186347961426;posed_neutral
931;-0.26845842599868774;0.36860549449920654;-0.1875600814819336;-0.08618902415037155;0.33396923542022705;-0.10476374626159668;0.29152926802635193;0.3366745710372925;-0.21559739112854004;0.09123115986585617;0.3315902352333069;-0.11439013481140137;-0.2281847596168518;0.017918407917022705;-0.17836618423461914;0.2197604924440384;0.022247672080993652;-0.1895923614501953;-0.10392245650291443;0.05680978298187256;-0.14262652397155762;0.10655713826417923;0.05005520582199097;-0.15961194038391113;-0.13443513214588165;-0.07501220703125;-0.12886905670166016;0.12324413657188416;-0.07058322429656982;-0.1474747657775879;-0.21628278493881226;-0.23659777641296387;-0.16039443016052246;-0.13158392906188965;-0.2089695930480957;-0.10635018348693848;0.20757590234279633;-0.22589349746704102;-0.1875464916229248;0.12153972685337067;-0.20023751258850098;-0.12143254280090332;-0.0069328672252595425;-0.18124842643737793;-0.06760787963867188;-0.0032373438589274883;-0.32770025730133057;-0.09599614143371582;posed_neutral
932;-0.26863032579421997;0.36847352981567383;-0.18767857551574707;-0.08629444241523743;0.3338988423347473;-0.10477209091186523;0.2916375398635864;0.3365377187728882;-0.21571040153503418;0.091246098279953;0.33156752586364746;-0.11439347267150879;-0.22832366824150085;0.017861247062683105;-0.1783914566040039;0.2198255956172943;0.022218644618988037;-0.1896042823791504;-0.1039736196398735;0.05664098262786865;-0.14257264137268066;0.10643359273672104;0.049998700618743896;-0.15941834449768066;-0.1345214694738388;-0.07541310787200928;-0.12892842292785645;0.1237354725599289;-0.07104384899139404;-0.14805340766906738;-0.21649013459682465;-0.23640668392181396;-0.16043305397033691;-0.13166990876197815;-0.208937406539917;-0.10639333724975586;0.20807874202728271;-0.22528135776519775;-0.18771052360534668;0.12164752185344696;-0.2001943588256836;-0.12150049209594727;-0.006643866654485464;-0.18137037754058838;-0.06763482093811035;-0.0025098188780248165;-0.32683396339416504;-0.09571552276611328;posed_neutral
933;-0.2684471607208252;0.36838990449905396;-0.18750786781311035;-0.08622775971889496;0.3339049220085144;-0.10476469993591309;0.2919314503669739;0.33637088537216187;-0.2160491943359375;0.09124481678009033;0.3314353823661804;-0.11438965797424316;-0.22817927598953247;0.017702937126159668;-0.17828083038330078;0.22007419168949127;0.022039055824279785;-0.18961191177368164;-0.10382971167564392;0.05657041072845459;-0.14229226112365723;0.10661432147026062;0.049933791160583496;-0.15958237648010254;-0.1341203898191452;-0.07545578479766846;-0.12851166725158691;0.12383776158094406;-0.07111144065856934;-0.1481776237487793;-0.21642176806926727;-0.2364363670349121;-0.16040420532226562;-0.13161267340183258;-0.20893895626068115;-0.10636425018310547;0.20884710550308228;-0.22452127933502197;-0.18803834915161133;0.12222932279109955;-0.20005226135253906;-0.12186837196350098;-0.006320869084447622;-0.18124842643737793;-0.06771636009216309;-0.0017499658279120922;-0.3260366916656494;-0.09544968605041504;posed_neutral
934;-0.268533319234848;0.3685990571975708;-0.1876213550567627;-0.08636597543954849;0.3341909646987915;-0.10478997230529785;0.2917037606239319;0.33668744564056396;-0.21581673622131348;0.09106294810771942;0.3317633271217346;-0.1143488883972168;-0.22822122275829315;0.017982840538024902;-0.1784043312072754;0.21995341777801514;0.022368252277374268;-0.18973922729492188;-0.10384226590394974;0.05684304237365723;-0.14252805709838867;0.10650185495615005;0.05026698112487793;-0.15969085693359375;-0.1341736614704132;-0.07512199878692627;-0.12859153747558594;0.12372507154941559;-0.07071077823638916;-0.14807677268981934;-0.21644523739814758;-0.23602354526519775;-0.16021728515625;-0.13164618611335754;-0.20856380462646484;-0.10637879371643066;0.20874202251434326;-0.22406339645385742;-0.18774771690368652;0.12213779240846634;-0.1996135711669922;-0.12179040908813477;-0.006392731796950102;-0.18085837364196777;-0.06778144836425781;-0.001792022492736578;-0.3255859613418579;-0.09533572196960449;posed_neutral
935;-0.26830318570137024;0.3684057593345642;-0.18738961219787598;-0.08614219725131989;0.3339341878890991;-0.10475730895996094;0.2917792499065399;0.33655864000320435;-0.21588945388793945;0.09118691831827164;0.3314248323440552;-0.11437368392944336;-0.2281629890203476;0.0180242657661438;-0.17839980125427246;0.2201448678970337;0.022323668003082275;-0.18979525566101074;-0.1037275567650795;0.056682288646698;-0.14222097396850586;0.10658949613571167;0.05003589391708374;-0.1596212387084961;-0.13424791395664215;-0.07504487037658691;-0.12867379188537598;0.1238614171743393;-0.07071304321289062;-0.1482527256011963;-0.21631433069705963;-0.2353835105895996;-0.1598513126373291;-0.1315433531999588;-0.20797598361968994;-0.10632205009460449;0.2090691477060318;-0.2235962152481079;-0.18782424926757812;0.12232691049575806;-0.1992894411087036;-0.12189793586730957;-0.006297140847891569;-0.180414080619812;-0.0678870677947998;-0.0015023755840957165;-0.3247261047363281;-0.09509062767028809;posed_neutral
936;-0.268222451210022;0.3685349225997925;-0.1873476505279541;-0.08598998188972473;0.33397358655929565;-0.10474300384521484;0.29184862971305847;0.3365057706832886;-0.21596789360046387;0.09150733798742294;0.33143335580825806;-0.11446142196655273;-0.22806362807750702;0.018106937408447266;-0.17839837074279785;0.22013714909553528;0.022568821907043457;-0.1899268627166748;-0.1036902517080307;0.056861937046051025;-0.14230585098266602;0.10667921602725983;0.050263047218322754;-0.15979981422424316;-0.13407550752162933;-0.07500302791595459;-0.12849926948547363;0.12414689362049103;-0.07072234153747559;-0.14863967895507812;-0.21624688804149628;-0.2348189353942871;-0.1595923900604248;-0.13155502080917358;-0.20743918418884277;-0.1063239574432373;0.20941594243049622;-0.22309494018554688;-0.18788862228393555;0.12264315038919449;-0.19868934154510498;-0.12207627296447754;-0.006350324954837561;-0.17985808849334717;-0.06798744201660156;-0.0010985652916133404;-0.3238586187362671;-0.09483456611633301;posed_neutral
